DAY,Глава,Глагол,Файл,Предложение (EN),Перевод (RU),한국어,Что на картинке (RU),Готовый промпт
13,1,GET ⑤,day-013,We just got back last night.,Мы только вчера вечером вернулись.,저희 어젯밤에 막 돌아왔어요.,Пара заходит домой с чемоданами поздно вечером,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a couple entering their apartment at night with suitcases, hallway light on, tired but happy"
14,1,GET ⑥,day-014,I don't get why she's so upset.,"Я не понимаю, почему она так расстроена.",걔가 왜 그렇게 속상해하는지 모르겠어요.,"Человек с растерянным жестом, на фоне другой отвернулся","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a confused person shrugging, another figure turned away in the background, tense mood"
15,1,GET ⑦,day-015,I feel like my English is getting rusty.,"Чувствую, что мой английский начинает ржаветь.",영어가 점점 녹스는 것 같아요.,"Раскрытый учебник английского в пыли, рядом чашка","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a dusty open English textbook on a desk with a mug, faint rust-colored tint, neglected study corner"
16,1,GET ⑧,day-016,I get a headache if I don't drink coffee.,"Если я не выпью кофе, у меня болит голова.",커피를 안 마시면 머리가 아파요.,"Человек трёт виски, рядом нетронутая чашка кофе","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person rubbing their temples at a desk, an untouched coffee cup beside them, morning office"
17,1,GET ⑨,day-017,I need to get these groceries home.,Мне нужно довезти эти продукты до дома.,이 장 본 것들 집까지 가져가야 해요.,Человек с двумя тяжёлыми пакетами продуктов на улице,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person carrying two heavy grocery bags along a sidewalk, slightly struggling"
18,1,GET ⑩,day-018,This area doesn't get much sunshine.,В этом районе мало солнца.,이 동네는 햇빛이 잘 안 들어요.,"Тенистый двор между высокими домами, узкая полоска света","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a shaded courtyard between tall buildings, one thin strip of sunlight on the ground"
19,1,GET ⑪,day-019,We got you a spot next to us.,Мы заняли тебе место рядом с нами.,우리 옆에 자리 맡아 놨어요.,"Люди в зале, на соседнем кресле лежит куртка — место занято","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: people seated in an auditorium, a jacket saving an empty seat beside them, someone waving"
20,1,GET ⑫,day-020,I got my hair dyed yesterday.,Я вчера покрасил волосы.,어제 머리 염색했어요.,"Клиент в кресле парикмахерской, мастер показывает результат в зеркале","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a client in a salon chair admiring newly dyed hair in the mirror, stylist behind them"
21,1,GET ⑬,day-021,How can I get my kids to eat vegetables?,Как заставить детей есть овощи?,애들이 채소를 먹게 하려면 어떻게 해야 하죠?,"Ребёнок отодвигает брокколи, родитель уговаривает","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a child pushing broccoli to the edge of the plate while a parent gently coaxes, kitchen table"
22,1,MAKE ①,day-022,"I can make you steamed galbi, if you want.","Могу приготовить тебе тушёные кальби, если хочешь.",원하면 갈비찜 해 줄게요.,"Домашняя кухня, кастрюля кальби-ччим, хозяин показывает блюдо","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a home cook lifting the lid off a pot of Korean braised short ribs, steam rising, family kitchen"
23,1,MAKE ②,day-023,Having children has made me a better husband.,Дети сделали меня лучшим мужем.,아이가 생기면서 더 좋은 남편이 됐어요.,"Отец с ребёнком на руках моет посуду, жена рядом улыбается","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a father holding a toddler in one arm while doing dishes, partner smiling nearby, warm kitchen"
24,1,MAKE ③,day-024,I made myself go to the gym today.,Я заставил себя сегодня пойти в зал.,오늘 억지로 헬스장에 갔어요.,Человек с усилием завязывает кроссовки у двери спортзала,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person reluctantly tying running shoes at a gym entrance, gym equipment behind"
25,1,MAKE ④,day-025,Sitting in traffic makes me feel anxious.,Стоять в пробке меня нервирует.,차 막히면 불안해져요.,"Водитель в пробке, руки на руле, бесконечные стоп-огни","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a driver gripping the wheel in heavy traffic, endless red tail lights ahead, tense expression"
26,1,MAKE ⑤,day-026,They made it to the finals.,Они вышли в финал.,걔네 결승에 올라갔어요.,"Команда празднует на поле, табло с надписью FINAL","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a sports team celebrating on the field, stadium scoreboard reading FINAL, confetti"
27,1,MAKE ⑥,day-027,Those two would make a great couple.,Эти двое отлично смотрелись бы вместе.,저 둘 잘 어울릴 것 같은데요.,Двое друзей наблюдают за парой издалека и переглядываются,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: two friends at a cafe glancing knowingly at a man and woman talking across the room"
28,1,TAKE ①,day-028,"If we can't finish, we can take the leftovers home.","Если не доедим, можем забрать остатки домой.",다 못 먹으면 남은 거 싸 가면 돼요.,Официант упаковывает остатки в контейнер,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a server packing leftover food into a takeout box at a restaurant table"
29,1,TAKE ②,day-029,That kindergarten doesn't take kids under five.,Этот детский сад не берёт детей младше пяти.,그 유치원은 다섯 살 미만은 안 받아요.,"Вход в детский сад, табличка с возрастом, родитель с малышом","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a kindergarten entrance with an age policy sign, a parent holding a small child outside"
30,1,TAKE ③,day-030,Kevin doesn't take advice from anyone.,Кевин ни от кого не принимает советов.,케빈은 누구 말도 안 들어요.,"Человек скрестил руки и отвернулся, коллега что-то объясняет","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a man with crossed arms looking away while a colleague tries to advise him, office"
31,1,TAKE ④,day-031,It takes a lot to make me angry.,Меня трудно вывести из себя.,저는 웬만해선 화 안 내요.,Человек спокойно улыбается посреди хаоса в офисе,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a calm person smiling amid chaotic office commotion, papers flying, unbothered"
32,1,TAKE ⑤,day-032,It took me months to finish reading that book.,Я читал эту книгу несколько месяцев.,그 책 다 읽는 데 몇 달 걸렸어요.,"Толстая книга с закладкой почти в конце, календарь на стене","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a thick book with a bookmark near the end on a desk, wall calendar with many crossed days"
33,1,TAKE ⑥,day-033,She didn't take it well.,Она восприняла это тяжело.,걔는 그걸 많이 힘들어했어요.,"Человек сидит один на скамейке, подперев голову","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person sitting alone on a park bench, head in hands, overcast evening"
34,1,DO,day-034,I do a lot of admin work at my job.,На работе у меня много бумажной работы.,회사에서 행정 업무를 많이 해요.,"Офисный стол, стопки документов, человек ставит подписи","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: an office desk piled with paperwork, a person signing forms, stamp and folders"
35,1,LIKE,day-035,"I don't like to play golf, but I have to for my job.","Я не люблю играть в гольф, но приходится по работе.",골프 좋아하진 않는데 일 때문에 쳐요.,"Мужчина в деловой одежде с клюшкой, без энтузиазма","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a businessman on a golf course holding a club with a resigned expression, colleagues behind"
36,1,SEE,day-036,I haven't seen you for a while.,Давно тебя не видел.,오랜만이에요.,Двое обнимаются при встрече на улице,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: two friends hugging in greeting on a city street, genuine smiles, reunion"
37,1,KNOW,day-037,I know the owner.,Я знаком с владельцем.,제가 사장님이랑 아는 사이예요.,Гость приветствует владельца ресторана за руку,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a guest shaking hands warmly with a restaurant owner near the counter"
38,1,WORK ①,day-038,This diet really worked for me.,Эта диета мне реально помогла.,이 다이어트 저한테 진짜 효과 있었어요.,"Человек застёгивает свободные джинсы, на стене фото «до»","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person holding out the loose waistband of their jeans, before-photo on the wall"
39,1,WORK ②,day-039,Dating doesn't work that way anymore. Times have changed.,Свидания теперь устроены иначе. Времена изменились.,요즘 연애는 그런 식이 아니에요. 시대가 변했죠.,"Слева пара со свиданием вслепую в старом стиле, справа — приложение знакомств","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a split scene: an old-fashioned blind date at a cafe versus someone swiping on a dating app"
40,1,GO ①,day-040,I'm glad to hear your trip went well.,"Рад слышать, что поездка прошла хорошо.",여행 잘 다녀오셨다니 다행이에요.,Друзья смотрят фото из поездки на телефоне,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: two friends looking at travel photos on a phone, one just back from a trip, suitcase nearby"
41,1,GO ②,day-041,The screen went dark for some reason.,Экран почему-то погас.,화면이 갑자기 꺼졌어요.,Человек смотрит на потухший экран ноутбука,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a person staring at a laptop with a completely black screen, puzzled, desk lamp on"
42,1,GO ③,day-042,Food trash goes in this yellow bag.,Пищевые отходы — в этот жёлтый пакет.,음식물 쓰레기는 이 노란 봉투에 넣으면 돼요.,"Кухня, жёлтый пакет для пищевых отходов, человек показывает","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a kitchen with a yellow food-waste bag, one person pointing it out to another, Korean apartment"
43,2,WANT,day-043,Do you want a ride to the station?,Подвезти тебя до вокзала?,역까지 태워다 줄까요?,"Водитель открывает пассажирскую дверь, вдали вокзал","Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a driver leaning over to open the passenger door, train station visible down the street"
44,2,SAY,day-044,The website says the item is out of stock.,"На сайте написано, что товара нет в наличии.",사이트에 품절이라고 나와 있어요.,Экран телефона: OUT OF STOCK,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a phone screen showing OUT OF STOCK on a shopping site, disappointed person holding it"
45,2,LET ①,day-045,Let me walk you out.,Давай я тебя провожу.,제가 배웅해 드릴게요.,Хозяин провожает гостя до лифта,"Korean webtoon / anime illustration style, soft cel shading with gentle gradients, warm natural lighting, detailed but uncluttered modern Korean settings. Young adults in their late twenties to thirties, expressive faces, natural poses. Muted natural palette - warm beige, soft grey, dusty blue, terracotta accents. Shallow depth of field, background softly blurred. No text, no captions, no letters, no logos, no watermark, no number badge. Wide horizontal composition, 3:2, subject clearly readable at small size. SCENE: a host walking a guest toward the elevator, gesturing politely, office corridor"
