DAY,Глава,Глагол,Файл (назвать так!),Предложение (EN),Перевод (RU),한국어,Что на картинке (RU),Промпт для генератора (вставить после стиля)
57,2,HEAD,day-057.png,I'm heading down to Busan this weekend.,На выходных еду в Пусан.,이번 주말에 부산 내려가요.,"Скоростной поезд KTX, вдалеке море Пусана","a KTX high-speed train departing, Busan coastline in the distance, weekend trip mood"
58,2,COME,day-058.png,Are you coming with us to the party?,Ты с нами на вечеринку?,우리랑 파티 갈래요?,"Друзья зовут кого-то рукой, вечеринка позади","friends waving someone over to join them, party lights in the background"
59,2,PUT ①,day-059.png,They put me on the waiting list.,Меня поставили в лист ожидания.,저 대기자 명단에 올려놨대요.,"Экран с надписью WAITING LIST, человек ждёт","a screen or clipboard reading WAITING LIST, a person waiting in a lobby chair"
60,2,PUT ②,day-060.png,Nasty comments always put me in a bad mood.,Злые комментарии всегда портят мне настроение.,악플 보면 항상 기분이 상해요.,"Человек хмурится, глядя в телефон, тёмная комната","a person frowning at their phone in a dim room, cold blue screen light on their face"
61,2,FEEL,day-061.png,This suit feels expensive.,Этот костюм на ощупь дорогой.,이 정장 원단이 좋아 보여요.,Рука ощупывает ткань пиджака в ателье,"a hand feeling the fabric of a suit jacket in a tailor shop, mirror behind"
62,2,TURN,day-062.png,I can't believe you've already turned 30.,"Не верится, что тебе уже тридцать.",벌써 서른이라니 믿기지가 않네요.,"Торт со свечами «30», друзья вокруг","a birthday cake with 30 candles, friends around the table cheering"
63,3,MOVE,day-063.png,Is it OK if I move the fan away from me?,"Ничего, если я отодвину вентилятор от себя?",선풍기 좀 저쪽으로 돌려도 될까요?,Человек отодвигает вентилятор в офисе,"a person turning a desk fan away from themselves in an office, colleague nearby"
64,3,RUN,day-064.png,The gift shop is run by nuns.,Этим сувенирным магазином управляют монахини.,그 기념품 가게는 수녀님들이 운영해요.,"Маленький сувенирный магазин при монастыре, монахини за прилавком","a small monastery gift shop with nuns behind the counter, shelves of souvenirs"
65,3,TRY,day-065.png,I've never tried acupuncture before.,Я никогда не пробовал иглоукалывание.,침 맞아 본 적이 한 번도 없어요.,"Кабинет иглотерапии, человек с опаской смотрит на иглы","an acupuncture clinic, a first-time patient eyeing the needles nervously"
66,3,STAND,day-066.png,It's so hot I can't stand it.,"Так жарко, что я не выдерживаю.",너무 더워서 못 참겠어요.,"Человек обмахивается на раскалённой улице, марево","a person fanning themselves on a scorching street, heat shimmer, blazing sun"
67,3,BREAK,day-067.png,The handle on my favorite cup broke.,У моей любимой чашки отломилась ручка.,제일 아끼는 컵 손잡이가 깨졌어요.,"Чашка без ручки, отломанная ручка рядом","a favorite mug on a table with its handle broken off lying beside it, sad mood"
68,3,HURT,day-068.png,My tooth hurts when I drink cold water.,"У меня болит зуб, когда я пью холодное.",찬물 마시면 이가 시려요.,Человек морщится со стаканом холодной воды,"a person wincing while drinking a glass of ice water, hand on cheek"
69,3,NOTICE,day-069.png,I noticed you never eat anything at lunch.,"Я заметил, что ты никогда ничего не ешь в обед.",점심때 아무것도 안 드시는 것 같던데요.,Коллега замечает нетронутый обед соседа,a colleague noticing another's untouched lunch box in an office break room
70,3,EXPECT,day-070.png,I expect an answer by tomorrow.,Жду ответ к завтрашнему дню.,내일까지는 답변 주셨으면 합니다.,"Деловое письмо на экране с дедлайном, календарь","a business email on screen with a deadline highlighted, desk calendar showing tomorrow"
71,3,LOSE,day-071.png,I just can't believe we lost.,"Просто не верится, что мы проиграли.",우리가 졌다는 게 믿기지 않아요.,"Болельщики в тишине, табло с проигрышем","stunned fans in silence, scoreboard showing a loss, heads in hands"
72,3,CATCH,day-072.png,I have to catch the bus at 7 a.m.,Мне надо успеть на автобус в семь утра.,아침 7시 버스를 타야 해요.,Человек бежит к автобусу на рассвете,"a person running toward a bus at an early-morning stop, dawn sky"
73,3,COST,day-073.png,It costs too much.,Это слишком дорого.,그건 너무 비싸요.,Покупатель смотрит на ценник с удивлением,"a shopper looking at a price tag with raised eyebrows, upscale store"
74,3,OFFER,day-074.png,Twenty thousand won is the most I can offer.,Двадцать тысяч вон — мой максимум.,2만 원이 제가 드릴 수 있는 최대예요.,"Торг на рынке, покупатель показывает купюру","a market haggling scene, a buyer holding out a banknote, vendor considering"
75,3,REQUIRE,day-075.png,Losing weight requires discipline.,Похудение требует дисциплины.,살 빼려면 절제가 필요해요.,"Весы, дневник питания и кроссовки в ряд","a scale, a food diary and running shoes lined up neatly, disciplined routine"
76,3,GAIN,day-076.png,I gained a lot of confidence at the English speaking workshop last week.,На воркшопе по английскому на прошлой неделе я сильно прибавил в уверенности.,지난주 영어 회화 워크숍에서 자신감이 많이 붙었어요.,Человек уверенно говорит перед небольшой группой,"a person confidently speaking in front of a small workshop group, others listening"
77,3,MENTION,day-077.png,Didn't you mention that you have friends in Osaka?,"Ты же вроде говорил, что у тебя есть друзья в Осаке?",오사카에 친구 있다고 하지 않았어요?,"Двое за столом, один вспоминает разговор, карта Осаки","two people at a table, one recalling something, a map of Osaka between them"
78,3,HANDLE,day-078.png,I can't handle people like her.,"Я не выношу таких людей, как она.",저는 그런 사람 감당이 안 돼요.,Человек устало прикрывает глаза после разговора,"a person pinching the bridge of their nose after a difficult conversation, office"
79,3,SELL,day-079.png,Iced coffee sells year-round.,Холодный кофе продаётся круглый год.,아이스 커피는 사계절 내내 팔려요.,"Ледяной кофе на витрине зимой, снег за окном",an iced coffee on a cafe counter with snow falling outside the window
80,3,SUIT,day-080.png,Bow ties don't suit me.,Мне не идут бабочки.,저는 나비넥타이가 안 어울려요.,Человек примеряет бабочку перед зеркалом и морщится,"a person trying on a bow tie in front of a mirror and grimacing, shop"
81,3,MISS,day-081.png,I'm very sorry for missing our meetup yesterday.,"Прошу прощения, что не пришёл вчера на встречу.",어제 모임에 못 가서 정말 죄송해요.,"Пустой стул за столом, друзья без него","an empty chair at a table of friends, one seat conspicuously unfilled"
82,3,FINISH ①,day-082.png,The game finished 4-3 in extra innings.,Матч закончился 4:3 в дополнительное время.,경기가 연장에서 4대 3으로 끝났어요.,"Табло 4-3, игроки на поле после матча","a baseball scoreboard showing 4-3 in extra innings, players walking off the field"
83,4,FINISH ②,day-083.png,I can't finish this cake — it's too sweet.,Я не смогу доесть этот торт — слишком сладкий.,이 케이크 너무 달아서 다 못 먹겠어요.,"Недоеденный кусок торта, вилка отложена",a half-eaten slice of very sweet cake with the fork set down beside it
84,4,BELONG,day-084.png,These mugs belong in this cupboard.,Эти кружки стоят вот в этом шкафу.,이 컵들은 이 찬장에 놓는 거예요.,Человек ставит кружки на полку шкафа,"a person placing mugs onto a specific kitchen cupboard shelf, organized shelves"
85,4,AFFORD,day-085.png,I wish I could afford to buy a place around here.,Хотел бы я иметь возможность купить здесь жильё.,이 동네에 집 살 형편이 됐으면 좋겠어요.,Человек смотрит на витрину агентства недвижимости,"a person looking at apartment listings in a real estate agency window, city street"
86,4,GRAB,day-086.png,Please grab a seat and we'll get started.,"Присаживайтесь, и начнём.",자리에 앉으시면 시작하겠습니다.,"Спикер приглашает сесть, участники рассаживаются",a facilitator gesturing to seats as participants sit down in a workshop room
87,4,FIX,day-087.png,I'm not sure if we can fix our marriage.,"Не уверен, что мы сможем починить наш брак.",우리 결혼 생활을 되돌릴 수 있을지 모르겠어요.,Пара сидит на разных концах дивана молча,"a couple sitting silently at opposite ends of a sofa, distance between them"
88,4,DESERVE,day-088.png,I think they got what they deserve.,"Думаю, они получили по заслугам.",걔네는 자업자득이에요.,Человек с лёгкой усмешкой читает новость,"a person reading news on a phone with a knowing half-smile, justice served"
89,4,MIND,day-089.png,I wouldn't mind staying at this hotel.,Я бы не отказался остановиться в этом отеле.,이 호텔이면 저는 좋아요.,"Красивый номер отеля, гость одобрительно кивает","a stylish hotel room, a guest nodding approvingly from the doorway, suitcase in hand"
90,4,BOOK,day-090.png,I booked us a room at The Shilla Seoul for our anniversary.,Я забронировал нам номер в The Shilla Seoul на годовщину.,기념일이라 신라호텔에 방 잡았어요.,Пара у стойки регистрации люксового отеля,"a couple checking in at a luxury hotel front desk, elegant lobby, anniversary mood"
91,4,SEEM,day-091.png,You always seem busy with something.,Ты всегда чем-то занят.,항상 뭔가 바쁘신 것 같아요.,"Человек с телефоном, ноутбуком и кофе одновременно","a person juggling a phone, laptop and coffee at once, perpetually busy"
92,4,BOTHER ①,day-092.png,It really bothers me when my laptop is slow.,"Меня реально бесит, когда ноутбук тормозит.",노트북 느려지면 진짜 짜증 나요.,"Крутящийся индикатор загрузки, человек стучит по столу","a spinning loading wheel on a laptop screen, a person drumming fingers impatiently"
93,5,BOTHER ②,day-093.png,He never bothers texting back.,Он никогда не удосуживается ответить на сообщение.,걔는 답장을 아예 안 해요.,"Чат без ответа, отправленные сообщения без реакции","a phone chat with several unanswered sent messages, no reply, disappointed person"
94,5,SPARE,day-094.png,Can you spare a moment to help me with something?,Найдётся минутка помочь мне кое с чем?,잠깐 시간 좀 내주실 수 있어요?,Коллега заглядывает в кабинет с просьбой,"a colleague leaning into a doorway asking for a moment of help, office"
95,5,RUIN,day-095.png,Don't eat candy before dinner! You'll ruin your appetite!,Не ешь конфеты перед ужином! Аппетит перебьёшь!,저녁 전에 사탕 먹지 마! 입맛 버려!,Родитель забирает конфету у ребёнка перед ужином,"a parent taking a candy from a child's hand before dinner, set table behind"
96,5,OWE,day-096.png,I don't owe the bank anything.,Я ничего не должен банку.,저는 은행에 빚이 하나도 없어요.,"Человек рвёт справку о кредите, штамп PAID","a person holding a loan statement stamped PAID, relieved smile, bank counter"
97,5,QUIT,day-097.png,I quit caffeine for a week.,Я неделю не пил кофеин.,일주일 동안 카페인 끊었어요.,"Перечёркнутая чашка кофе, рядом травяной чай","a crossed-out coffee cup beside a cup of herbal tea, a week marked on a calendar"
98,5,ARRANGE,day-098.png,I'll arrange for someone to pick you up.,"Я организую, чтобы вас встретили.",마중 나갈 사람 준비해 둘게요.,Водитель с табличкой в зале прилёта,"a driver holding a name sign in an airport arrivals hall, waiting for a guest"
99,5,SKIP,day-099.png,I never skip leg day.,Я никогда не пропускаю день ног.,저는 하체 운동 절대 안 빼먹어요.,Человек приседает со штангой в зале,"a person doing barbell squats in a gym, focused, leg day"
100,5,SPOIL,day-100.png,Don't spoil the movie! I haven't seen it yet.,Не спойлери фильм! Я его ещё не смотрел!,영화 스포 하지 마! 아직 안 봤어!,"Один зажимает уши, другой рассказывает о фильме","one person covering their ears while another excitedly talks about a movie, cinema lobby"
